DepthOrig;DepthCorr;DepthAdj;Al;Si;Ca;Ti;K;Zr;
200.266;200.446;62.378;0.868659178;-0.136894871;1.997191576;-0.184356079;;;
200.267;200.447;62.379;-0.016170866;-0.534713716;7.341760386;-0.612097229;;;
200.268;200.448;62.38;;;;;;;
200.272;200.452;62.381;-0.166784858;0.785579316;-1.222981505;0.7025952;;;
200.275;200.455;62.382;0.628591581;0.810302178;0.615945616;0.694613831;;;
200.276;200.456;62.383;0.417355381;1.099032122;-1.923206496;1.09368227;;;
200.277;200.457;62.384;0.52546005;0.950281865;-1.269804;0.329466209;;;
200.278;200.458;62.385;0.396851359;1.015044318;-0.041505547;0.598837405;;;
200.279;200.459;62.386;0.268242684;1.079806765;1.186792906;0.868208602;;;
200.282;200.462;62.387;-0.519959379;0.373425743;-1.207667346;0.832292442;;;
200.283;200.463;62.388;0.767921052;0.444766123;0.787393574;0.650716302;;;
200.285;200.465;62.389;2.319541011;0.442192149;0.912018791;0.698604515;;;
200.286;200.466;62.39;-0.601649334;0.732669856;-1.755983405;0.800366967;;;
200.289;200.469;62.391;1.481036845;1.099318119;0.955144773;0.774427519;;;
200.29;200.47;62.392;-0.348671365;1.212986074;1.065512048;0.963985027;;;
200.293;200.473;62.393;1.712247139;0.185779875;-0.312583149;0.481112216;;;
200.294;200.474;62.394;1.111883038;0.148409589;1.233615401;0.329466209;;;
200.295;200.475;62.395;-0.233963025;0.360047433;-0.044849905;0.044132274;;;
200.296;200.476;62.396;-0.261641408;0.266017944;-0.570986888;0.251647863;;;
200.297;200.477;62.397;-0.289319791;0.171988462;-1.097123871;0.459163452;;;
200.301;200.481;62.398;0.381402016;0.213902922;0.772255369;0.313503471;;;
200.307;200.487;62.399;0.285200272;1.024736439;0.82171816;0.898138735;;;
200.308;200.488;62.4;1.204008436;0.651669128;0.108995259;0.716562595;;;
200.311;200.491;62.401;1.094680875;0.02012401;-1.193233203;0.425242634;;;
200.312;200.492;62.402;-0.411284018;0.685671001;0.199823999;0.73052999;;;
200.363;200.543;62.403;0.341616895;-0.536839428;0.231684489;0.036150906;;;
200.375;200.555;62.404;0.422165469;-0.565184919;-0.453930651;-0.267141108;;;
200.414;200.594;62.405;-0.793074507;-0.698586666;0.154761784;-0.464679986;;;
200.473;200.653;62.406;-0.858866701;0.247523466;-0.541766941;0.20375965;;;
200.5;200.68;62.407;-0.549798223;-1.542913623;1.31705087;-1.472327795;;;
;200.685;62.408;-0.538302924;-1.668450457;0.883326706;-1.619983118;;;
200.51;200.69;62.409;-0.52680764;-1.793987284;0.449602542;-1.767638441;;;
200.521;200.701;62.41;-0.941616513;-1.456701388;0.762573955;-1.432420951;;;
200.524;200.704;62.411;-0.550613505;-1.917093143;1.005487827;-2.056963059;;;
200.526;200.706;62.412;-1.600109281;-1.461912888;0.986300954;-1.813531311;;;
200.527;200.707;62.413;-2.631995252;-1.926944149;-1.974605767;-2.116823325;;;
200.546;200.726;62.414;-1.53374638;-0.452660952;-0.839776349;-0.885697189;;;
200.547;200.727;62.415;2.374000987;4.06544E-05;-0.052419131;-0.855767056;;;
200.548;200.728;62.416;1.864213276;2.617104632;-6.310791189;1.839940252;;;
200.55;200.73;62.417;2.314241773;1.124549422;-0.210137009;0.824311074;;;
200.552;200.732;62.418;1.290834595;0.869853124;0.94546336;0.036150906;;;
200.553;200.733;62.419;1.940033287;2.090965327;1.15105995;0.68463712;;;
;200.7335;62.42;1.889038204;1.608281713;1.066128133;0.484105229;;;
200.554;200.734;62.421;1.838043138;1.125598078;0.981196317;0.283573338;;;
200.555;200.735;62.422;1.168788828;0.941002846;-1.113318294;0.497074953;;;
200.556;200.736;62.423;2.602194775;1.552877745;0.91536315;0.612804801;;;
200.557;200.737;62.424;1.241021657;2.079303047;-5.14163694;1.800033408;;;
200.558;200.738;62.425;1.070059744;1.189502534;-4.098340325;1.349086071;;;
200.559;200.739;62.426;3.405153217;1.695240693;0.516315972;1.32913265;;;
200.564;200.744;62.427;1.57128712;1.643443488;0.91536315;1.173495958;;;
200.565;200.745;62.428;2.158606914;1.841830134;-1.705992506;1.90179586;;;
200.566;200.746;62.429;0.851730707;3.464895327;-10.09179563;4.439871135;;;
200.567;200.747;62.43;1.736705204;2.20129667;-3.234940418;2.618123709;;;
200.568;200.748;62.431;1.646047289;1.915760312;-1.524863134;1.753142866;;;
200.57;200.75;62.432;1.555389389;1.630224022;0.185213902;0.888162024;;;
200.573;200.753;62.433;1.201888737;1.460500686;0.607848528;0.973961738;;;
200.574;200.754;62.434;2.11384864;1.692126525;-0.269633121;0.900134077;;;
200.575;200.755;62.435;2.968739718;2.906946813;-0.192886616;2.594179603;;;
200.577;200.757;62.436;1.714774463;2.250011507;1.236255697;1.039808031;;;
200.579;200.759;62.437;1.914107739;2.166849887;-2.887644419;1.67432685;;;
200.58;200.76;62.438;-0.417643129;1.871351366;-2.189003507;1.087696244;;;
200.583;200.763;62.439;1.929027169;1.171707162;1.143138816;0.501065638;;;
200.585;200.765;62.44;0.134783142;1.456337794;-0.556552992;0.287564023;;;
200.586;200.766;62.441;1.251538625;1.683896142;0.761165831;1.14755651;;;
200.59;200.77;62.442;2.987898545;3.908476806;0.19049474;3.819319712;;;
;200.7705;62.443;3.310215142;4.419490066;-0.666128227;4.160523227;;;
200.591;200.771;62.444;3.632531739;4.930503326;-1.522750947;4.501726743;;;
200.592;200.772;62.445;;;;;;;
200.593;200.773;62.446;1.049054843;1.505587379;-1.233914375;0.911087566;;;
200.594;200.774;62.447;-0.317418805;0.127671293;-0.970986425;-1.07216319;;;
200.596;200.776;62.448;0.921634973;0.77319473;-1.059050143;-0.459878653;;;
200.597;200.777;62.449;1.349206325;1.779666659;-1.138127033;1.03681688;;;
200.598;200.778;62.45;1.544903434;1.665099212;-0.98480954;1.581930961;;;
